ID,Year,Host,State,County,Country,Field,Form.ID,Serial_agar_dilution_for_creating_the_model_..N.20.,hyphal_tip..ht.,DNA.Extraction,lat,long,Size.of.field..acres.,Percentage.Affected,History,Plot,Number.of.Years,Fungicide.This.Year,Chemigation,Applied.for.White.Mold,Fungicide_current_season,molecule.s._current_season,company_current_season,Timing,Applications,Rate,Pre.2015.Fungicides,Number.of.Years.1,Fungicide_previous_seasons,molecule.s._previous_seasons,company_previous_seasons,Timing..Soybean,Notes,Apparently.low.sensitiviy,Group_MOA_current_season,Group_MOA_previous_seasons,Fungicide_status,Selection_fungicides,Source
26,1974,drybeans,NE,Western ,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
27,1974,drybeans,NE,Scotts Bluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
74,1974,drybeans,NE,Alliance,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
81,1974,drybeans,NE,Alliance,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
87,1974,drybeans,NE,Gering,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
89,1974,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
90,1974,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
91,1974,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
92,1974,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
95,1974,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
108,1974,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
116,1974,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
117,1974,drybeans,CO,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
118,1974,drybeans,ID,,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
119,1974,peas,ID,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
121,1974,lettuce,CA,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
123,1963,drybeans,NE,Western ,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
125,1975,drybeans,NE,Scotts Bluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
126,1975,drybeans,NY,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
127,1975,drybeans,NY,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
128,1975,drybeans,NY,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
129,1974,soil,,,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
132,1975,tomato,WA,Pullman,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
133,1975,drybeans,NY,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
134,1975,drybeans,NY,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
135,1975,drybeans,NY,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
136,1975,alfalfa,NC,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
143,1977,soybeans,CO,Greeley,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
144,1976,lettuce,AZ,Yuma,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
145,1978,drybeans,NE,Scotts Bluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
146,1979,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
147,1980,soybeans,,,australia,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
148,1979,lettuce,AZ,North Gila,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
149,1979,lettuce,AZ,Yuma,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
150,1978,lettuce,AZ,Yuma,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
151,1980,potato,NE,Pumpkin Creek,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
152,1980,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
153,1982,thistle,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
155,1982,drybeans,NY,Williamson,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
156,1983,drybeans,WI,Hancock,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
160,1983,drybeans,CA,Westley,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
161,1983,peas,CA,Davis,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
166,1984,thistle,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
167,1984,spotted Knapweed,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
168,1984,spotted Knapweed,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
170,1984,thistle,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
171,1984,spotted Knapweed,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
172,1984,spotted Knapweed,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
173,1984,thistle,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
175,1984,spotted Knapweed,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
176,1984,thistle,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
177,1984,thistle,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
178,1984,spotted Knapweed,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
179,1984,thistle,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
180,1984,spotted Knapweed,MT,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
181,1984,soybeans,MI,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
182,1984,drybeans,ON,Harrow,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
183,1984,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
184,1985,drybeans,AB,,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
185,1982,drybeans,NE,Scotts Bluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
186,1985,tomato,KS,Topeka,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
187,1985,soybeans,NE,Tilden,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
188,1985,drybeans,NE,Scotts Bluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
189,1985,drybeans,NE,Scotts Bluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
190,1985,drybeans,WA,Prosser ,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
191,1985,thistle,MT,Ft. Peck,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
192,1985,thistle,MT,Canyon Ferry Lake,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
193,1985,spotted Knapweed,MT,Missoula,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
194,1985,drybeans,MI,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
195,1985,drybeans,ON,Harrow,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
198,1987,drybeans,NE,Sunol,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
200,1990,drybeans,NE,Hemingford,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
201,1990,sunflower,ND,Red River,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
202,1990,soybeans,NE,Ithaca,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
205,1965,drybeans,MD,Cumberland,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
220,1989,drybeans,Arusha,,tanzania,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
221,1991,sunflower,ND,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
222,1991,sunflower,ND,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
223,1991,drybeans,NE,Scotts Bluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
224,1991,sunflower,NE,Scotts Bluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
225,1991,sunflower,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
226,1991,lens,SK,,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
227,1991,alfalfa,WI,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
228,1991,alfalfa,WI,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
229,1991,alfalfa,WI,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
230,1991,alfalfa,WI,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
231,1991,alfalfa,WI,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
232,1991,alfalfa,WA,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
233,1991,rapeseed,SK,Meadow Lake,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
234,1991,rapeseed,SK,Meadow Lake,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
235,1991,rapeseed,SK,Meadow Lake,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
239,1992,peanut,OK,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
240,1969,lettuce,NY,Bridgeton,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
242,1980,soil,DF,Xochimilco,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
243,1981,pyrethrum,,,tasmania,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
244,1992,canola,ON,Riple,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
245,1992,sunflower,,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
246,1992,alfalfa,OH,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
247,1992,alfalfa,OH,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
248,1992,drybeans,SIN,Los Mochis,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
252,1992,sunflower,KS,Sherman ,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
253,1992,drybeans,KS,Cheyenne,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
254,1992,drybeans,KS,Cheyenne,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
255,1992,drybeans,KS,Cheyenne,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
256,1993,lettuce,ON,Bradford,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
257,1993,soybeans,OH,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
258,1993,soybeans,IA,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
259,1993,soybeans,IA,Renwick,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
260,1993,alfalfa,PA,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
261,1993,alfalfa,PA,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
263,1993,alfalfa,OH,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
264,1994,soybeans,NE,Lincoln,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
265,1994,soybeans,NE,Burt  ,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
266,1994,soybeans,NE,Saunders,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
267,1994,soybeans,NE,Bellwood,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
