"","ID","Origin","State","Funcide","Host","Year","N_iso_perfield","bos","pico","tetra","TM"
"126",271,"FF","",NA,"celery",1995,NA,NA,NA,NA,NA
"127",272,"FF","NE",NA,"drybeans",1995,NA,NA,NA,NA,NA
"128",273,"FF","NE",NA,"",1995,NA,NA,NA,NA,NA
"129",274,"FF","NE",NA,"drybeans",1995,NA,0,1,0,0
"130",275,"FF","NE",NA,"chicory",1995,NA,NA,NA,NA,NA
"131",276,"FF","NE",NA,"soybeans",1996,NA,NA,NA,NA,NA
"132",277,"FF","Herts",NA,"sunflower",1995,NA,NA,NA,NA,NA
"133",278,"FF","Herts",NA,"rapeseed",1995,NA,NA,NA,NA,NA
"134",279,"FF","NE",NA,"drybeans",1996,NA,NA,NA,NA,NA
"135",280,"FF","CO",NA,"drybeans",1994,NA,NA,NA,NA,NA
"136",281,"FF","NE",NA,"soybeans",1996,NA,NA,NA,NA,NA
"137",282,"FF","NC",NA,"tobacco",1996,NA,NA,NA,NA,NA
"138",283,"FF","NC",NA,"tobacco",1996,NA,NA,NA,NA,NA
"139",284,"FF","NC",NA,"tobacco",1996,NA,NA,NA,NA,NA
"140",285,"FF","NC",NA,"tobacco",1996,NA,NA,NA,NA,NA
"141",286,"FF","",NA,"sunflower",1996,NA,NA,NA,NA,NA
"142",287,"FF","",NA,"sunflower",1996,NA,NA,NA,NA,NA
"143",288,"FF","Unknown",NA,"sunflower",1996,NA,NA,NA,NA,NA
"144",289,"FF","NE",NA,"soybeans",1996,NA,NA,NA,NA,NA
"145",290,"FF","",NA,"drybeans",1996,NA,NA,NA,NA,NA
"146",291,"FF","FL",NA,"basil",1996,NA,NA,NA,NA,NA
"147",292,"FF","FL",NA,"tomato",1996,NA,NA,NA,NA,NA
"148",293,"FF","",NA,"soybeans",1996,NA,NA,NA,NA,NA
"149",294,"FF","MI",NA,"drybeans",1997,NA,NA,NA,NA,NA
"150",295,"FF","MI",NA,"soybeans",1995,NA,NA,NA,NA,NA
"151",296,"FF","",NA,"white clover",1973,NA,NA,NA,NA,NA
"152",297,"FF","",NA,"Rapeseed",1996,NA,NA,NA,NA,NA
"153",298,"FF","",NA,"Rapeseed",1996,NA,NA,NA,NA,NA
"154",299,"FF","",NA,"Rapeseed",1996,NA,NA,NA,NA,NA
"155",300,"FF","",NA,"Rapeseed",1996,NA,NA,NA,NA,NA
"156",301,"FF","",NA,"peas",1996,NA,NA,NA,NA,NA
"157",302,"FF","",NA,"carrot",1996,NA,NA,NA,NA,NA
"158",303,"FF","",NA,"peas",1996,NA,NA,NA,NA,NA
"159",304,"FF","",NA,"drybeans",1997,NA,NA,NA,NA,NA
"160",305,"FF","WA",NA,"drybeans",1996,NA,NA,NA,NA,NA
"161",306,"FF","ID",NA,"drybeans",1996,NA,NA,NA,NA,NA
"162",307,"FF","WA",NA,"drybeans",1996,NA,0,0,0,0
"163",308,"FF","WA",NA,"drybeans",1996,NA,NA,NA,NA,NA
"164",309,"FF","NE",NA,"drybeans",1993,NA,NA,NA,NA,NA
"165",310,"FF","NE",NA,"soybeans",1997,NA,NA,NA,NA,NA
"166",311,"FF","",NA,"rodgersia",1997,NA,NA,NA,NA,NA
"167",312,"FF","",NA,"cabbage",1997,NA,NA,NA,NA,NA
"168",313,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"169",314,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"170",315,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"171",316,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"172",317,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"173",318,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"174",319,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"175",320,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"176",321,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"177",322,"FF","GA",NA,"canola",1997,NA,NA,NA,NA,NA
"178",323,"FF","NE",NA,"drybeans",1997,NA,NA,NA,NA,NA
"179",324,"FF","NE",NA,"zinnia",1997,NA,NA,NA,NA,NA
"180",325,"FF","CA",NA,"Blanket flowers",1997,4,NA,NA,NA,NA
"181",326,"FF","CA",NA,"Blanket flowers",1997,4,NA,NA,NA,NA
"182",327,"FF","CA",NA,"Blanket flowers",1997,4,NA,NA,NA,NA
"183",328,"FF","CA",NA,"Blanket flowers",1997,4,NA,NA,NA,NA
"184",329,"FF","CA",NA,"pepper",1997,3,NA,NA,NA,NA
"185",330,"FF","CA",NA,"pepper",1997,3,NA,NA,NA,NA
"186",331,"FF","CA",NA,"pepper",1997,3,NA,NA,NA,NA
"187",332,"FF","OK",NA,"peanut",1997,NA,NA,NA,NA,NA
"188",333,"FF","MS",NA,"alfalfa",1987,NA,NA,NA,NA,NA
"189",334,"FF","WI",NA,"red clover",1992,NA,NA,NA,NA,NA
"190",335,"FF","LA",NA,"hairy Vetch",1987,NA,NA,NA,NA,NA
"191",336,"FF","MS",NA,"berseem clover",1987,NA,NA,NA,NA,NA
"192",337,"FF","LA",NA,"peas",1987,NA,NA,NA,NA,NA
"193",338,"FF","PA",NA,"red clover",1994,NA,NA,NA,NA,NA
"194",339,"FF","MS",NA,"lesser trefoil",1988,NA,NA,NA,NA,NA
"195",339,"FFT","MS",NA,"lesser trefoil",1999,NA,NA,NA,NA,NA
"196",340,"FF","KY",NA,"alfalfa",1996,NA,NA,NA,NA,NA
"197",341,"FF","KY",NA,"alfalfa",1996,NA,NA,NA,NA,NA
"198",342,"FF","KY",NA,"alfalfa",1996,NA,NA,NA,NA,NA
"199",343,"FF","KY",NA,"alfalfa",1996,NA,NA,NA,NA,NA
"200",344,"FF","KY",NA,"alfalfa",1996,NA,NA,NA,NA,NA
"201",345,"FF","KY",NA,"alfalfa",1996,NA,NA,NA,NA,NA
"202",346,"FF","KY",NA,"alfalfa",1996,NA,NA,NA,NA,NA
"203",347,"FF","KY",NA,"alfalfa",1996,NA,NA,NA,NA,NA
"204",348,"FF","CA",NA,"broccoli",1997,4,NA,NA,NA,NA
"205",349,"FF","CA",NA,"broccoli",1997,4,NA,NA,NA,NA
"206",350,"FF","CA",NA,"broccoli",1997,4,NA,NA,NA,NA
"207",351,"FF","CA",NA,"broccoli",1997,4,NA,NA,NA,NA
"208",352,"FF","CA",NA,"lettuce",1992,NA,NA,NA,NA,NA
"209",353,"FF","WI",NA,"",1992,NA,NA,NA,NA,NA
"210",354,"FF","WI",NA,"red clover",1996,NA,NA,NA,NA,NA
"211",355,"FF","WI",NA,"",NA,NA,NA,NA,NA,NA
"212",357,"FF","WI",NA,"",NA,NA,NA,NA,NA,NA
"213",358,"FF","NE",NA,"drybeans",1998,NA,NA,NA,NA,NA
"214",378,"FF","ON",NA,"rapeseed",1998,NA,NA,NA,NA,NA
"215",379,"FF","AB",NA,"rapeseed",1998,NA,NA,NA,NA,NA
"216",380,"FF","AB",NA,"rapeseed",1998,NA,NA,NA,NA,NA
"217",381,"FF","SK",NA,"rapeseed",1998,NA,NA,NA,NA,NA
"218",382,"FF","SK",NA,"rapeseed",1998,NA,NA,NA,NA,NA
"219",383,"FF","SK",NA,"rapeseed",1998,NA,NA,NA,NA,NA
"220",384,"FF","AB",NA,"rapeseed",1998,NA,NA,NA,NA,NA
"221",385,"FF","",NA,"canola",1998,NA,NA,NA,NA,NA
"222",386,"FF","",NA,"lesser celandine",1998,NA,NA,NA,NA,NA
"223",387,"FF","NC",NA,"alfalfa",1998,NA,NA,NA,NA,NA
"224",388,"FF","NY",NA,"cabbage",1998,NA,NA,NA,NA,NA
"225",389,"FF","NY",NA,"cabbage",1998,NA,NA,NA,NA,NA
"226",390,"FF","MS",NA,"lesser trefoil",1988,NA,NA,NA,NA,NA
"227",391,"FF","MS",NA,"lesser trefoil",1988,NA,NA,NA,NA,NA
"228",392,"FF","MS",NA,"lesser trefoil",1988,NA,NA,NA,NA,NA
"229",393,"FF","NE",NA,"drybeans",1999,NA,NA,NA,NA,NA
"230",394,"FF","MI",NA,"drybeans",1999,NA,NA,NA,NA,NA
"231",395,"FF","ID",NA,"drybeans",2000,NA,NA,NA,NA,NA
"232",396,"FF","NC",NA,"soybeans",2000,NA,NA,NA,NA,NA
"233",397,"FF","IA",NA,"soybeans",2000,NA,NA,NA,NA,NA
"234",398,"FF","OR",NA,"pear",2000,NA,NA,NA,NA,NA
"235",399,"FF","NE",NA,"soybeans",1999,NA,NA,NA,NA,NA
"236",400,"FF","MG",NA,"drybeans",2000,NA,NA,NA,NA,NA
"237",402,"FF","GO",NA,"drybeans",2000,NA,NA,NA,NA,NA
"238",403,"FF","FL",NA,"petunia",2000,NA,NA,NA,NA,NA
"239",404,"FF","Herverlee",NA,"chicory",2000,NA,NA,NA,NA,NA
"240",405,"FF","OR",NA,"drybeans",2000,NA,NA,NA,NA,NA
"241",406,"FF","Mooi Rive",NA,"drybeans",2002,NA,NA,NA,NA,NA
"242",407,"FF","",NA,"sunflower",2002,NA,NA,NA,NA,NA
"243",408,"FF","MI",NA,"drybeans",2002,NA,NA,NA,NA,NA
"244",409,"FF","NE",NA,"drybeans",2002,NA,NA,NA,NA,NA
"245",410,"FF","Marathon",NA,"lettuce",2002,NA,NA,NA,NA,NA
"246",411,"FF","ND",NA,"canola",2002,NA,NA,NA,NA,NA
"247",412,"FF","WI",NA,"soybeans",2002,NA,NA,NA,NA,NA
"248",413,"FF","WI",NA,"soybeans",2000,NA,NA,NA,NA,NA
"249",414,"FF","CO",NA,"soybeans",2000,NA,NA,NA,NA,NA
"250",415,"FF","WI",NA,"soybeans",2000,NA,NA,NA,NA,NA
"251",416,"FF","WI",NA,"soybeans",2000,NA,NA,NA,NA,NA
"252",417,"FF","WI",NA,"soybeans",NA,NA,NA,NA,NA,NA
"253",418,"FF","WI",NA,"red clover",NA,NA,NA,NA,NA,NA
"254",419,"FF","WI",NA,"soybeans",NA,NA,NA,NA,NA,NA
"255",420,"FF","WI",NA,"red clover",1992,NA,NA,NA,NA,NA
"256",421,"FF","WI",NA,"soybeans",NA,NA,NA,NA,NA,NA
"257",422,"FF","WI",NA,"red clover",1992,NA,NA,NA,NA,NA
"258",423,"FF","WI",NA,"red clover",1992,NA,NA,NA,NA,NA
"259",424,"FF","WI",NA,"Bird's-foot trefoil",1996,NA,NA,NA,NA,NA
"260",425,"FF","WI",NA,"soybeans",2000,NA,NA,NA,NA,NA
"261",426,"FF","WI",NA,"soybeans",2000,NA,NA,NA,NA,NA
"262",427,"FF","WI",NA,"soybeans",2000,NA,NA,NA,NA,NA
"263",428,"FF","ND",NA,"canola",2000,NA,NA,NA,NA,NA
"264",429,"FF","",NA,"",NA,NA,NA,NA,NA,NA
"265",430,"FF","WI",NA,"red clover",1992,NA,NA,NA,NA,NA
"266",431,"FF","WI",NA,"",1992,NA,NA,NA,NA,NA
"267",432,"FF","WI",NA,"red clover",1992,NA,NA,NA,NA,NA
"268",433,"FF","",NA,"",NA,NA,NA,NA,NA,NA
"269",434,"FF","NE",NA,"drybeans",2003,NA,NA,NA,NA,NA
"270",435,"FF","ON",NA,"canola",1989,NA,NA,NA,NA,NA
"271",436,"FF","",NA,"",NA,NA,NA,NA,NA,NA
"272",437,"FF","",NA,"",NA,NA,NA,NA,NA,NA
"273",438,"FF","SC",NA,"canola",1997,NA,NA,NA,NA,NA
"274",439,"FF","ON",NA,"soybeans",2000,NA,NA,NA,NA,NA
"275",440,"FF","ON",NA,"soybeans",2000,NA,NA,NA,NA,NA
"276",441,"FF","AB",NA,"",1992,NA,NA,NA,NA,NA
"277",442,"FF","",NA,"",NA,NA,NA,NA,NA,NA
"278",443,"FFT","NY",NA,"drybeans",1989,NA,NA,NA,NA,NA
"279",444,"Baseline","MN",NA,"drybeans",2003,2,NA,NA,NA,NA
"280",445,"Baseline","MN",NA,"drybeans",2003,2,NA,NA,NA,NA
"281",446,"Baseline","MI",NA,"drybeans",2003,9,NA,NA,NA,NA
"282",447,"Baseline","MI",NA,"drybeans",2003,9,NA,NA,NA,NA
"283",448,"Baseline","MI",NA,"drybeans",2003,9,NA,NA,NA,NA
"284",449,"Baseline","MI",NA,"drybeans",2003,9,1,0,0,1
"285",450,"Baseline","MI",NA,"drybeans",2003,9,NA,NA,NA,NA
"286",451,"Baseline","MI",NA,"drybeans",2003,9,NA,NA,NA,NA
"287",452,"Baseline","MI",NA,"drybeans",2003,9,NA,NA,NA,NA
"288",453,"Baseline","MI",NA,"drybeans",2003,9,NA,NA,NA,NA
"289",454,"Baseline","MI",NA,"drybeans",2003,9,NA,NA,NA,NA
"290",455,"FF","OR",NA,"drybeans",1998,NA,NA,NA,NA,NA
"291",456,"FF","WA",NA,"drybeans",1996,NA,1,1,0,0
"292",457,"Baseline","WA",NA,"drybeans",2003,9,NA,NA,NA,NA
"293",458,"Baseline","WA",NA,"drybeans",2003,9,NA,NA,NA,NA
"294",459,"Baseline","WA",NA,"drybeans",2003,9,NA,NA,NA,NA
"295",460,"Baseline","WA",NA,"drybeans",2003,9,NA,NA,NA,NA
"296",461,"Baseline","WA",NA,"drybeans",2003,9,1,0,1,0
"297",462,"Baseline","WA",NA,"drybeans",2003,9,NA,NA,NA,NA
"298",463,"Baseline","WA",NA,"drybeans",2003,9,NA,NA,NA,NA
"299",464,"Baseline","WA",NA,"drybeans",2003,9,NA,NA,NA,NA
"300",465,"Baseline","WA",NA,"drybeans",2003,9,NA,NA,NA,NA
"301",466,"FF","MI",NA,"cranberry",2003,NA,NA,NA,NA,NA
"302",467,"Baseline","CO",NA,"drybeans",1996,1,1,0,0,0
"303",468,"FF","OR",NA,"broccoli",2003,NA,NA,NA,NA,NA
"304",469,"Baseline","OR",NA,"drybeans",2003,7,NA,NA,NA,NA
"305",470,"FF","OR",NA,"drybeans",2003,NA,NA,NA,NA,NA
"306",471,"FF","OR",NA,"drybeans",2003,NA,NA,NA,NA,NA
"307",472,"Baseline","OR",NA,"drybeans",2003,7,NA,NA,NA,NA
"308",473,"Baseline","OR",NA,"drybeans",2003,7,NA,NA,NA,NA
"309",474,"Baseline","OR",NA,"drybeans",2003,7,NA,NA,NA,NA
"310",475,"Baseline","OR",NA,"drybeans",2003,7,1,0,0,0
"311",476,"Baseline","OR",NA,"drybeans",2003,7,NA,NA,NA,NA
"312",477,"Baseline","OR",NA,"drybeans",2003,7,NA,NA,NA,NA
"313",478,"FF","WI",NA,"drybeans",2002,NA,1,0,1,0
"314",479,"FF","WI",NA,"drybeans",2003,NA,1,0,0,0
"315",480,"FF","WI",NA,"drybeans",1998,NA,NA,NA,NA,NA
"316",481,"FF","WI",NA,"drybeans",1999,NA,NA,NA,NA,NA
"317",482,"FF","MI",NA,"drybeans",2003,NA,0,1,1,0
"318",483,"FF","ID",NA,"drybeans",2003,NA,NA,NA,NA,NA
"319",484,"FF","ID",NA,"drybeans",2003,NA,NA,NA,NA,NA
"320",485,"FF","ID",NA,"drybeans",2003,NA,NA,NA,NA,NA
"321",486,"FF","ID",NA,"drybeans",2003,NA,NA,NA,NA,NA
"322",487,"FF","ID",NA,"drybeans",2003,NA,NA,NA,NA,NA
"323",488,"FF","ID",NA,"drybeans",2003,NA,NA,NA,NA,NA
"324",489,"FF","Blenheim",NA,"drybeans",2004,NA,NA,NA,NA,NA
"325",490,"FF","Barranquita",NA,"drybeans",2004,NA,NA,NA,NA,NA
"326",491,"FF","Blenheim",NA,"drybeans",2004,NA,NA,NA,NA,NA
"327",492,"FF","Blenheim",NA,"drybeans",2005,NA,NA,NA,NA,NA
"328",493,"FF","Blenheim",NA,"drybeans",2006,NA,NA,NA,NA,NA
"329",494,"FF","NE",NA,"drybeans",2004,NA,NA,NA,NA,NA
"330",495,"FF","Victoria",NA,"drybeans",2004,NA,NA,NA,NA,NA
"331",496,"FF","Tasmania",NA,"drybeans",2004,NA,NA,NA,NA,NA
"332",497,"FF","Victoria",NA,"drybeans",2004,NA,NA,NA,NA,NA
"333",498,"FF","Tasmania",NA,"drybeans",2004,NA,NA,NA,NA,NA
"334",499,"FF","Tasmania",NA,"drybeans",2004,NA,NA,NA,NA,NA
"335",500,"FF","Tasmania",NA,"drybeans",2004,NA,NA,NA,NA,NA
"336",501,"FF","Tasmania",NA,"drybeans",2004,NA,NA,NA,NA,NA
"337",502,"FF","Victoria",NA,"drybeans",2004,NA,NA,NA,NA,NA
"338",503,"FF","Victoria",NA,"drybeans",2004,NA,NA,NA,NA,NA
"339",504,"FF","WA",NA,"drybeans",2004,NA,0,0,0,0
"340",505,"FF","WA",NA,"drybeans",2004,NA,0,0,1,0
"341",506,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"342",507,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"343",508,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"344",509,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"345",510,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"346",511,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"347",512,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"348",513,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"349",514,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"350",515,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"351",516,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"352",517,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"353",518,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"354",519,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"355",520,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
"356",521,"FF","NE",NA,"soybeans",2004,NA,NA,NA,NA,NA
