ID,repeats,experimental_replicate,sham.ecuatorial,sham.polar,picoxystrobin.ecuatorial,picoxystrobin.polar
1906,3,1,4.937,4.664,3.018,2.954
1907,1,1,4.672,4.645,2.988,2.963
1907,2,1,4.548,4.765,2.77,2.824
1907,3,1,4.708,4.511,3.053,3.009
1920,1,1,4.656,4.858,3.083,3.135
1920,2,1,4.658,4.87,3.174,3.174
1920,3,1,4.767,4.611,3.163,3.337
1921,1,1,4.711,4.64,3.546,3.657
1921,2,1,4.676,4.794,3.548,3.593
1921,3,1,4.811,4.699,3.315,3.523
1922,1,1,4.536,4.564,3.603,3.459
1922,2,1,4.638,4.63,3.368,3.275
1922,3,1,4.664,4.587,3.275,3.213
1923,1,1,4.665,4.783,3.076,3.076
1923,2,1,4.644,4.667,3.075,2.946
1923,3,1,4.705,4.769,3.283,3.241
1924,1,1,4.637,4.777,2.993,2.943
1924,2,1,4.747,4.747,2.993,2.943
1924,3,1,4.837,4.928,3.144,3.167
1926,1,1,4.724,4.89,3.469,3.593
1926,2,1,4.918,4.792,3.506,3.628
1926,3,1,4.614,5.086,3.231,3.347
1928,1,1,4.996,4.996,3.876,3.846
1928,2,1,4.789,4.789,3.475,3.632
1928,3,1,4.556,4.887,3.777,3.843
1929,1,1,4.39,4.404,3.143,3.29
1929,2,1,4.607,4.644,3.258,3.229
1929,3,1,4.45,4.768,3.024,3.066
1930,1,1,4.676,4.643,3.215,3.26
1930,2,1,4.509,4.55,2.996,2.947
1930,3,1,4.715,4.796,3.074,2.976
1931,1,1,4.735,4.741,3.227,3.202
1931,2,1,4.792,4.97,3.32,3.292
1931,3,1,4.48,4.522,3.67,3.398
2481,1,1,4.799,4.843,3.13,3.326
2481,2,1,4.906,5.002,3.214,2.982
2481,3,1,5.012,4.682,3.115,3.346
2483,1,1,4.993,4.92,3.582,3.582
2483,2,1,5.192,5.235,3.412,3.571
2483,3,1,4.891,5.035,3.315,3.417
2484,1,1,4.24,4.004,2.708,2.603
2484,2,1,4.053,4.067,2.981,2.918
2484,3,1,3.557,3.46,2.671,2.687
2485,1,1,4.972,5.085,3.238,3.65
2485,2,1,5.306,5.214,3.305,3.249
2485,3,1,4.868,4.733,3.336,3.29
2486,1,1,5.251,5.36,3.025,3.021
2486,2,1,5.376,5.449,3.289,3.14
2486,3,1,5.212,5.212,3.195,3.234
2487,1,1,5.626,5.596,3.531,3.378
2487,2,1,5.59,5.474,3.384,3.61
2487,3,1,5.494,5.725,3.515,3.515
2488,1,1,5.565,5.545,3.453,3.486
2488,2,1,5.618,5.683,3.656,3.623
2488,3,1,5.575,5.575,3.744,3.608
2489,1,1,5.855,5.925,3.493,3.418
2489,2,1,5.393,5.5,3.289,3.561
2489,3,1,5.641,5.378,3.574,3.574
2490,1,1,5.011,5.207,3.4,3.359
2490,2,1,5.374,5.399,3.48,3.48
2490,3,1,5.418,5.501,3.434,3.46
2504,1,1,5.282,5.248,3.78,3.676
2504,2,1,5.267,5.311,3.421,3.499
2504,3,1,5.319,5.328,3.663,3.47
2505,1,1,5.727,5.638,3.969,3.847
2505,2,1,5.488,5.488,3.707,3.672
2505,3,1,5.84,5.65,3.909,4
2506,1,1,5.245,5.178,3.665,3.563
2506,2,1,5.178,4.931,3.428,3.389
2506,3,1,5.262,5.266,3.605,3.558
2507,1,1,5.361,5.401,3.594,3.561
2507,2,1,5.402,5.309,3.694,3.625
2507,3,1,5.391,5.452,3.68,3.582
2508,1,1,4.982,5.022,3.169,3.245
2508,2,1,5.041,4.859,3.434,3.367
2508,3,1,4.883,5.067,3.354,3.354
2509,1,1,5.511,5.511,3.259,3.259
2509,2,1,5.18,5.18,3.314,3.304
2509,3,1,5.108,5.18,3.371,3.239
2510,1,1,5.292,5.28,3.587,3.487
2510,2,1,5.242,5.31,3.457,3.294
2510,3,1,5.374,5.508,3.452,3.348
2511,1,1,5.487,5.438,3.434,3.348
2511,2,1,5.167,5.238,3.447,3.313
2511,3,1,5.33,5.482,3.527,3.419
2512,1,1,5.352,5.212,2.95,2.884
2512,2,1,5.456,5.214,3.113,3.08
2512,3,1,5.191,5.24,3.223,3.354
2513,1,1,5.361,5.361,3.449,3.503
2513,2,1,5.371,5.438,3.531,3.37
2513,3,1,5.56,5.709,3.492,3.648
2542,1,1,5.121,4.96,2.658,2.732
2542,2,1,5.126,4.901,3.065,3.065
2542,3,1,5.321,5.313,3.082,3.082
2545,1,1,4.498,4.498,3.12,3.151
2545,2,1,4.478,4.421,3.167,3.047
2545,3,1,4.241,4.241,3.222,3.02
2546,1,1,4.622,4.646,3.222,3.222
2546,2,1,4.473,4.578,3.299,3.267
2546,3,1,4.568,4.516,3.174,3.13
2547,1,1,4.915,5.012,3.451,3.41
2547,2,1,4.804,4.679,3.488,3.384
2547,3,1,4.922,4.671,3.351,3.433
2548,1,1,4.821,4.487,3.5,3.572
2548,2,1,4.516,4.516,3.516,3.473
2548,3,1,4.854,4.835,3.343,3.304
2550,1,1,4.743,4.743,3.742,3.704
2550,2,1,4.911,4.541,3.619,3.578
2550,3,1,4.647,4.622,3.565,3.471
2551,1,1,4.336,4.448,3.611,3.57
2551,2,1,4.808,4.825,3.357,3.476
2551,3,1,4.893,4.857,3.359,3.398
2552,1,1,5.146,4.92,3.296,2.998
2552,2,1,5.117,5.082,3.116,3.342
2552,3,1,5.298,4.999,2.936,2.739
2554,1,1,5.045,5.176,2.761,2.861
2554,2,1,5.38,5.397,2.996,2.883
2554,3,1,5.326,5.239,2.769,2.888
2557,1,1,5.807,5.733,3.455,3.455
2557,2,1,5.46,5.654,3.561,3.717
2557,3,1,5.711,5.618,3.431,3.314
461,1,2,5.242,5.232,3.229,3.273
461,2,2,5.122,5.091,3.273,3.152
461,3,2,4.959,5.087,3.438,3.067
1884,1,2,4.717,4.717,3.762,3.65
1884,2,2,4.717,4.69,3.649,3.607
1884,3,2,4.851,4.894,3.833,3.756
1887,1,2,4.874,4.735,3.468,3.396
1887,2,2,4.701,4.975,3.482,3.47
1887,3,2,4.796,4.796,3.704,3.633
1888,1,2,5.002,4.983,3.359,3.306
1888,2,2,5.247,5.179,3.353,3.331
1888,3,2,5.11,5.291,3.385,4.449
1889,1,2,5.206,5.261,3.57,3.457
1889,2,2,5.318,5.323,3.561,3.665
1889,3,2,5.341,5.341,,
1890,1,2,4.74,4.604,3.49,3.453
1890,2,2,4.723,4.69,3.441,3.541
1890,3,2,4.753,4.469,,
1891,1,2,5.094,5.265,3.399,3.454
1891,2,2,5.362,5.235,3.61,3.674
1891,3,2,5.096,5.277,3.507,3.539
1892,1,2,5.157,5.182,3.69,3.564
1892,2,2,5.182,5.182,3.402,3.461
1892,3,2,5.091,5.228,,
1893,1,2,4.819,4.936,3.425,3.619
1893,2,2,4.692,4.92,3.359,3.359
1893,3,2,4.789,4.979,,
1894,1,2,4.823,4.728,3.609,3.421
1894,2,2,4.952,5.08,3.301,3.535
1894,3,2,5.05,4.816,,
1895,1,2,5.076,4.79,3.661,3.563
1895,2,2,4.951,4.88,3.702,3.804
1895,3,2,4.886,5.067,3.775,3.642
1896,1,2,5.371,5.35,3.454,3.111
1896,2,2,5.497,5.695,3.27,3.17
1896,3,2,5.436,5.458,3.318,3.128
1898,1,2,5.213,5.337,3.379,3.449
1898,2,2,5.284,5.234,3.631,3.725
1898,3,2,5.092,5.323,,
1899,1,2,4.808,5.114,3.311,3.423
1899,2,2,5.377,5.16,3.24,3.605
1899,3,2,5.257,5.231,,
1901,1,2,5.043,5.005,2.828,2.907
1901,2,2,5.201,5.202,3.055,2.944
1901,3,2,5.075,5.387,3.006,3.129
1902,1,2,5.369,5.251,2.982,3.215
1902,2,2,4.947,5.114,3.122,3.249
1902,3,2,5.027,5.114,3.216,3.481
1903,1,2,4.663,4.47,3.262,3.201
1903,2,2,5.12,5.102,2.886,2.944
1903,3,2,5.013,5.08,,
1904,1,2,4.999,5.16,3.489,3.319
1904,2,2,5.225,5.325,3.486,3.458
1904,3,2,5.282,5.394,3.419,3.626
1905,1,2,5.36,5.398,3.096,3.096
1905,2,2,5.571,5.535,3.241,3.159
1905,3,2,5.46,5.312,,
1906,1,2,5.723,5.542,3.486,3.666
1906,2,2,5.446,5.416,3.512,3.554
1906,3,2,5.626,5.488,,
1907,1,2,5.751,5.7,3.362,3.594
1907,2,2,5.708,5.719,3.394,3.412
1907,3,2,5.683,5.813,3.704,3.704
1920,1,2,5.165,5.349,3.128,3.056
1920,2,2,5.059,5.241,3.073,3.426
1920,3,2,5.117,5.117,3.187,3.307
1921,1,2,4.612,4.504,3.278,3.381
1921,2,2,4.761,4.647,3.454,3.297
1921,3,2,4.647,4.782,3.482,3.263
1922,1,2,4.53,4.613,3.414,3.491
1922,2,2,4.824,4.659,3.51,3.309
1922,3,2,4.722,4.554,3.451,3.513
1923,1,2,5.233,5.452,3.255,3.29
1923,2,2,5.443,5.343,3.325,3.264
1923,3,2,5.187,5.587,3.264,3.264
1924,1,2,5.256,5.149,3.281,3.104
1924,2,2,5.343,5.373,3.389,3.418
1924,3,2,5.391,5.538,,
1926,1,2,4.935,5.116,3.681,3.855
1926,2,2,5.11,5.275,3.6,3.639
1926,3,2,5.329,5.435,3.786,3.798
1928,1,2,5.028,5.028,3.701,3.613
1928,2,2,5.345,5.345,3.649,3.649
1928,3,2,4.913,4.967,3.6,3.674
1929,1,2,5.109,5.127,3.458,3.458
1929,2,2,5.263,5.462,3.495,3.495
1929,3,2,5.262,5.307,3.342,3.422
1930,1,2,4.787,4.831,3.242,3.118
1930,2,2,4.752,5.113,3.272,3.332
1930,3,2,5.072,4.74,,
1931,1,2,4.963,4.854,3.661,3.357
1931,2,2,4.911,4.98,3.12,2.92
1931,3,2,5.039,5.052,3.66,3.292
2481,1,2,5.472,5.614,3.495,3.495
2481,2,2,5.471,5.521,3.277,3.356
2481,3,2,5.555,5.749,,
2483,1,2,5.366,5.546,3.464,3.522
2483,2,2,5.097,5.196,3.486,3.391
2483,3,2,5.342,5.21,,
2484,1,2,5.193,5.389,3.131,3.234
2484,2,2,5.338,5.515,3.196,3.025
2484,3,2,5.072,5.383,,
2485,1,2,5.708,5.62,3.393,3.296
2485,2,2,5.462,5.783,3.443,3.305
2485,3,2,5.773,5.904,3.365,3.365
2486,1,2,5.779,5.815,3.24,3.392
2486,2,2,5.749,5.749,3.475,3.252
2486,3,2,5.305,5.321,3.277,3.173
2487,1,2,5.51,5.51,3.365,3.438
2487,2,2,5.5,5.664,3.331,3.313
2487,3,2,5.788,5.783,3.45,3.364
2488,1,2,5.518,5.538,3.141,3.422
2488,2,2,5.54,5.594,3.483,3.29
2488,3,2,5.663,5.464,3.42,3.267
2489,1,2,5.36,5.249,3.511,3.471
2489,2,2,5.484,5.389,3.605,3.524
2489,3,2,5.464,5.276,,
2490,1,2,5.506,5.328,3.014,3.069
2490,2,2,5.648,5.429,3.28,3.28
2490,3,2,5.312,5.348,3.466,3.319
2504,1,2,5.224,5.066,3.324,3.368
2504,2,2,5.279,5.19,3.153,3.324
2504,3,2,5.055,5.128,,
2505,1,2,5.121,4.8,3.409,3.188
2505,2,2,5.133,4.976,3.374,3.432
2505,3,2,5.335,5.144,,
2506,1,2,5.307,5.307,3.49,3.49
2506,2,2,5.365,5.488,3.627,3.54
2506,3,2,5.481,5.569,,
2507,1,2,4.951,5.101,3.592,3.519
2507,2,2,5.176,5.218,3.368,3.511
2507,3,2,5.383,5.284,,
2508,1,2,4.876,5.097,3.466,3.389
2508,2,2,5.202,5.01,3.434,3.281
2508,3,2,5.048,5.1,,
2509,1,2,5.377,5.463,3.443,3.377
2509,2,2,4.835,5.107,3.184,3.101
2509,3,2,5.041,5.011,2.969,3.12
2510,1,2,5.486,5.461,3.535,3.438
2510,2,2,5.386,5.355,3.326,3.185
2510,3,2,5.348,5.487,3.185,3.253
2511,1,2,5.07,5.07,3.204,3.27
2511,2,2,5.472,5.58,3.347,3.347
2511,3,2,5.393,5.221,,
2512,1,2,5.22,5.12,3.134,2.972
2512,2,2,5.164,4.989,2.513,2.767
2512,3,2,5.095,5.166,3.019,2.948
2513,1,2,4.902,5.185,3.217,3.081
2513,2,2,5.115,5.002,3.181,2.973
2513,3,2,5.109,5.057,3.183,3.157
2542,1,2,5.12,5.326,2.919,3.055
2542,2,2,5.125,5.083,3.246,3.052
2542,3,2,4.927,5.116,,
2545,1,2,4.621,4.104,3.174,3.125
2545,2,2,4.427,4.3,3.138,3.04
2545,3,2,4.679,4.517,2.962,3.273
2546,1,2,4.961,4.725,3.233,3.255
2546,2,2,4.986,4.627,3.202,3.057
2546,3,2,4.736,4.555,,
2547,1,2,5.054,4.891,3.655,3.512
2547,2,2,4.969,4.983,3.434,3.452
2547,3,2,5.052,5.024,,
2548,1,2,4.74,4.835,3.535,3.473
2548,2,2,4.583,4.764,3.497,3.368
2548,3,2,4.745,4.745,,
2550,1,2,4.562,4.267,3.46,3.324
2550,2,2,4.488,4.543,3.223,3.272
2550,3,2,4.697,4.255,,
2551,1,2,4.836,4.945,3.24,3.373
2551,2,2,4.621,4.778,3.466,3.513
2551,3,2,4.72,4.671,3.101,3.119
2552,1,2,5.266,5.438,3.349,3.454
2552,2,2,5.809,5.627,3.314,3.226
2552,3,2,5.297,5.297,,
2554,1,2,5.404,5.578,3.241,3.33
2554,2,2,5.578,5.672,3.334,3.3
2554,3,2,5.223,5.478,,
2557,1,2,5.407,5.428,3.241,3.399
2557,2,2,5.441,5.681,3.125,3.164
2557,3,2,5.591,5.597,3.431,3.385
,,,,,,
,,,,,,
,,,,,,
