"","ID","Year","Host","State","County","Country","Field","Form.ID","Serial_agar_dilution_for_creating_the_model_..N.20.","Origin","hyphal_tip..ht.","DNA.Extraction","lat","long","Size.of.field..acres.","Percentage.Affected","History","Plot","Number.of.Years","Fungicide.This.Year","Chemigation","Applied.for.White.Mold","Fungicide_current_season","molecule.s._current_season","company_current_season","Timing","Applications","Rate","Pre.2015.Fungicides","Number.of.Years.1","Fungicide_previous_seasons","molecule.s._previous_seasons","company_previous_seasons","Timing..Soybean","Notes","Apparently.low.sensitiviy","Group_MOA_current_season","Group_MOA_previous_seasons","Field_Names"
"11",26,1974,"drybeans","NE","Western ","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"12",27,1974,"drybeans","NE","Scotts Bluff","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"13",74,1974,"drybeans","NE","Alliance","USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"14",81,1974,"drybeans","NE","Alliance","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"15",87,1974,"drybeans","NE","Gering","USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"16",89,1974,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"17",90,1974,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"18",91,1974,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"19",92,1974,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"20",95,1974,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"21",108,1974,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"22",116,1974,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"23",117,1974,"drybeans","CO",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"24",118,1974,"drybeans","ID",NA,"USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"25",119,1974,"peas","ID",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"26",121,1974,"lettuce","CA",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"27",123,1963,"drybeans","NE","Western ","USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1963_NA"
"28",125,1975,"drybeans","NE","Scotts Bluff","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1975_NA"
"29",126,1975,"drybeans","NY",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1975_NA"
"30",127,1975,"drybeans","NY",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1975_NA"
"31",128,1975,"drybeans","NY",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1975_NA"
"32",129,1974,"soil",NA,NA,"USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"33",132,1975,"tomato","WA","Pullman","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1975_NA"
"34",133,1975,"drybeans","NY",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1975_NA"
"35",134,1975,"drybeans","NY",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1975_NA"
"36",135,1975,"drybeans","NY",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1975_NA"
"37",136,1975,"alfalfa","NC",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1975_NA"
"38",143,1977,"soybeans","CO","Greeley","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1977_NA"
"39",144,1976,"lettuce","AZ","Yuma","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1976_NA"
"40",145,1978,"drybeans","NE","Scotts Bluff","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1978_NA"
"41",146,1979,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1979_NA"
"42",147,1980,"soybeans",NA,NA,"australia",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1980_NA"
"43",148,1979,"lettuce","AZ","North Gila","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1979_NA"
"44",149,1979,"lettuce","AZ","Yuma","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1979_NA"
"45",150,1978,"lettuce","AZ","Yuma","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1978_NA"
"46",151,1980,"potato","NE","Pumpkin Creek","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1980_NA"
"47",152,2003,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","2003_NA"
"48",153,1982,"thistle","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1982_NA"
"49",155,1982,"drybeans","NY","Williamson","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1982_NA"
"50",156,1983,"drybeans","WI","Hancock","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1983_NA"
"51",160,1983,"drybeans","CA","Westley","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1983_NA"
"52",161,1983,"peas","CA","Davis","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1983_NA"
"53",166,1984,"thistle","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"54",167,1984,"spotted Knapweed","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"55",168,1984,"spotted Knapweed","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"56",170,1984,"thistle","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"57",171,1984,"spotted Knapweed","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"58",172,1984,"spotted Knapweed","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"59",173,1984,"thistle","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"60",175,1984,"spotted Knapweed","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"61",176,1984,"thistle","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"62",177,1984,"thistle","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"63",178,1984,"spotted Knapweed","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"64",179,1984,"thistle","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"65",180,1984,"spotted Knapweed","MT",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"66",181,1984,"soybeans","MI",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"67",182,1984,"drybeans","ON","Harrow","canada",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"68",183,1984,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1984_NA"
"69",184,1985,"drybeans","AB",NA,"canada",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"70",185,1982,"drybeans","NE","Scotts Bluff","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1982_NA"
"71",186,1985,"tomato","KS","Topeka","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"72",187,1985,"soybeans","NE","Tilden","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"73",188,1985,"drybeans","NE","Scotts Bluff","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"74",189,1985,"drybeans","NE","Scotts Bluff","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"75",190,1985,"drybeans","WA","Prosser ","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"76",191,1985,"thistle","MT","Ft. Peck","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"77",192,1985,"thistle","MT","Canyon Ferry Lake","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"78",193,1985,"spotted Knapweed","MT","Missoula","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"79",194,1985,"drybeans","MI",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"80",195,1985,"drybeans","ON","Harrow","canada",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1985_NA"
"81",198,1987,"drybeans","NE","Sunol","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1987_NA"
"82",200,1990,"drybeans","NE","Hemingford","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1990_NA"
"83",201,1990,"sunflower","ND","Red River","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1990_NA"
"84",202,1990,"soybeans","NE","Ithaca","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1990_NA"
"85",205,1965,"drybeans","MD","Cumberland","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1965_NA"
"86",220,1989,"drybeans","Arusha",NA,"tanzania",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1989_NA"
"87",221,1991,"sunflower","ND",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"88",222,1991,"sunflower","ND",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"89",223,1991,"drybeans","NE","Scotts Bluff","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"90",224,1991,"sunflower","NE","Scotts Bluff","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"91",225,1991,"sunflower","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"92",226,1991,"lens","SK",NA,"canada",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"93",227,1991,"alfalfa","WI",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"94",228,1991,"alfalfa","WI",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"95",229,1991,"alfalfa","WI",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"96",230,1991,"alfalfa","WI",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
"97",231,1991,"alfalfa","WI",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1991_NA"
