Collection_ID,Year,Host,State,County,Country,Field,Form ID,Serial_agar_dilution_for_creating_the_model_ (N=20),Origin,hyphal_tip (ht),DNA Extraction,lat,long,Size of field (acres),Percentage Affected ,History,Number of Years,Fungicide This Year,Chemigation,Applied for White Mold,Fungicide_current_season,molecule(s)_current_season,company_current_season,Timing,Applications,Rate,Pre-2015 Fungicides,Number of Years,Fungicide_previous_seasons,molecule(s)_previous_seasons,company_previous_seasons,Timing: Soybean,Notes,Apparently low sensitiviy
81 ,1974,drybeans,NE,Alliance,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
87 ,1974,drybeans,NE,Gering,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
89 ,1974,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
90 ,1974,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
91 ,1974,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
92 ,1974,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
95 ,1974,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
108 ,1974,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
116 ,1974,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
117 ,1974,drybeans,CO,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
118 ,1974,drybeans,ID,,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
119 ,1974,peas,ID,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
121 ,1974,lettuce,CA,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
123 ,1963,drybeans,NE,Western ,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
125 SS-4 ,1975,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
126 ,1975,drybeans,NY,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
127 ,1975,drybeans,NY,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
128 ,1975,drybeans,NY,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
129 ,1974,soil,,,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
132 ,1975,tomato,WA,Pullman,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
133 ,1975,drybeans,NY,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
134 ,1975,drybeans,NY,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
135 ,1975,drybeans,NY,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
136 ,1975,alfalfa,NC,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
136a ,1999,alfalfa,NC,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
136b ,1999,alfalfa,NC,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
136c ,1999,alfalfa,NC,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
143 ,1977,soybeans,CO,Greeley,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
143a ,1999,soybeans,CO,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
143b ,1999,soybeans,CO,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
143c ,1999,soybeans,CO,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
143d ,1999,soybeans,CO,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
143e ,1999,soybeans,CO,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
143f ,1999,soybeans,CO,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
144 ,1976,lettuce,AZ,Yuma,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
145 ,1978,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
146 ,1979,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
147 ,1980,soybeans,,,australia,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
147b,1980,soybeans,,,australia,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
147c,1980,soybeans,,,australia,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
148 ,1979,lettuce,AZ,North Gila,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
149 ,1979,lettuce,AZ,Yuma,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
150 ,1978,lettuce,AZ,Yuma,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
151 ,1980,potato,NE,Pumpkin Creek,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152 ,1980,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152a ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152b ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152c ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152d ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152e ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152f ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152g ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152h ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152i ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152j ,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
152JR,1999,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
153 ,1982,thistle,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
155 ,1982,drybeans,NY,Williamson,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
156 ,1983,drybeans,WI,Hancock,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
160 ,1983,drybeans,CA,Westley,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
160a,1983,drybeans,CA,Westley,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
160b,1983,drybeans,CA,Westley,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
160c,1983,drybeans,CA,Westley,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
161 ,1983,peas,CA,Davis,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
161a,1983,peas,CA,Davis,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
161b,1983,peas,CA,Davis,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
161c,1983,peas,CA,Davis,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
166 ,1984,thistle,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
167 ,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
167a,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
167b,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
167c,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
168 ,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
170 ,1984,thistle,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
171 ,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
172 ,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
173 ,1984,thistle,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
175 ,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
176 ,1984,thistle,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
177 ,1984,thistle,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
178 ,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
179 ,1984,thistle,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
180 ,1984,spotted Knapweed,MT,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
181 ,1984,soybeans,MI,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
182 ,1984,drybeans,ON,Harrow,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
183 ,1984,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
184 ,1985,drybeans,AB,,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
184a,1985,drybeans,AB,,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
184b,1985,drybeans,AB,,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
184c,1985,drybeans,AB,,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
185 ,1982,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
186 ,1985,tomato,KS,Topeka,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
187 ,1985,soybeans,NE,Tilden,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
188 ,1985,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
189 ,1985,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
190 ,1985,drybeans,WA,Prosser ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
191 ,1985,thistle,MT,Ft. Peck,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
192 ,1985,thistle,MT,Canyon Ferry Lake,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
193 ,1985,spotted Knapweed,MT,Missoula,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
194 ,1985,drybeans,MI,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
195 ,1985,drybeans,ON,Harrow,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
198 ,1987,drybeans,NE,Sunol,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
200 ,1990,drybeans,NE,Hemingford,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
201 ,1990,sunflower,ND,Red River,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
202 ,1990,soybeans,NE,Ithaca,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
202a,1999,soybeans,NE,Ithaca,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
202b,1999,soybeans,NE,Ithaca,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
202c,1999,soybeans,NE,Ithaca,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
205 ,1965,drybeans,MD,Cumberland,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
220 ,1989,drybeans,Arusha,,tanzania,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
221 ,1991,sunflower,ND,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
222 ,1991,sunflower,ND,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
223 ,1991,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
224 ,1991,sunflower,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
225 ,1991,sunflower,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
226 ,1991,lens,SK,,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
227 ,1991,alfalfa,WI,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
228 ,1991,alfalfa,WI,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
229 ,1991,alfalfa,WI,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
230 ,1991,alfalfa,WI,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
231 ,1991,alfalfa,WI,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
232A ,1991,alfalfa,WA,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
232B ,1991,alfalfa,WA,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
233 ,1991,rapeseed,SK,Meadow Lake,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
234 ,1991,rapeseed,SK,Meadow Lake,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
235 ,1991,rapeseed,SK,Meadow Lake,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
239 ,1992,peanut,OK,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
240 ,1969,lettuce,NY,Bridgeton,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
242 ,1980,soil,DF,Xochimilco,mexico,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
243 ,1981,pyrethrum,,,tasmania,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
244 ,1992,canola,ON,Riple,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
245 ,1992,sunflower,,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
245a,1992,sunflower,,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
245b,1992,sunflower,,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
245c,1992,sunflower,,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
246 ,1992,alfalfa,OH,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
247 ,1992,alfalfa,OH,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
247a ,1999,alfalfa,OH,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
247b ,1999,alfalfa,OH,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
247c ,1999,alfalfa,OH,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
248 ,1992,drybeans,SIN,Los Mochis,mexico,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
248a ,1999,drybeans,SIN,Los Mochis,mexico,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
248b ,1999,drybeans,SIN,Los Mochis,mexico,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
252 ,1992,sunflower,KS,Sherman ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
253 ,1992,drybeans,KS,Cheyenne,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
254 ,1992,drybeans,KS,Cheyenne,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
255 ,1992,drybeans,KS,Cheyenne,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
256 ,1993,lettuce,ON,Bradford,canada,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
257 ,1993,soybeans,OH,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
258 ,1993,soybeans,IA,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
259 ,1993,soybeans,IA,Renwick,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
260 ,1993,alfalfa,PA,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
261 ,1993,alfalfa,PA,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
263 ,1993,alfalfa,OH,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
264 ,1994,soybeans,NE,Lincoln,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
264a ,1999,soybeans,NE,Lincoln,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
264b ,1999,soybeans,NE,Lincoln,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
264c ,1999,soybeans,NE,Lincoln,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
265 ,1994,soybeans,NE,Burt  ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
266 ,1994,soybeans,NE,Saunders,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
267 ,1994,soybeans,NE,Bellwood,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
268 ,1994,soybeans,NE,Herman,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
271 ,1995,celery,,,argentina,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
272 ,1995,drybeans,NE,Grant,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
273 ,1995,,NE,Champion,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
274 ,1995,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
274a ,1999,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
274b ,1999,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
275 ,1995,chicory,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
276 ,1996,soybeans,NE,Ord,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
277 ,1995,sunflower,Herts,Harpenden ,britain,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
278 ,1995,rapeseed,Herts,Harpenden ,britain,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
279 ,1996,drybeans,NE,Holt,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
280 ,1994,drybeans,CO,Lucerne,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
281 ,1996,soybeans,NE,Lancaster,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
282 ,1996,tobacco,NC,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
283 ,1996,tobacco,NC,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
284 ,1996,tobacco,NC,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
285 ,1996,tobacco,NC,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
286 ,1996,sunflower,,,argentina,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
287 ,1996,sunflower,,,argentina,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
288 ,1996,sunflower,Unknown,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
289 ,1996,soybeans,NE,Lancaster,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
290 ,1996,drybeans,,,argentina,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
291 ,1996,basil,FL,Homestead,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
292 ,1996,tomato,FL,Homestead,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
293 ,1996,soybeans,,,argentina,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
294 ,1997,drybeans,MI,Lakeview,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
295 ,1995,soybeans,MI,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
296 ,1973,white clover,,,tasmania,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
297 ,1996,Rapeseed,,,poland,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
298 ,1996,Rapeseed,,,poland,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
299 ,1996,Rapeseed,,,poland,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
300 ,1996,Rapeseed,,,poland,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
301 ,1996,peas,,,poland,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
302 ,1996,carrot,,,poland,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
303 ,1996,peas,,,poland,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
304 ,1997,drybeans,,,argentina,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
305 ,1996,drybeans,WA,Quincy,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
306 ,1996,drybeans,ID,Caldwell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
307 ,1996,drybeans,WA,Quincy,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
308 ,1996,drybeans,WA,Quincy,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
